MANUFACTURER,BRAND,ITEM,ITEM_DESCRIPTION,CATEGORY,FORMAT,ATTR1,ATTR2,ATTR3
INDS. ALEN,CLORALEX,0000075000592,CLORALEX EL RENDIDOR BOT.PLAST. 250ML NAL. 0000075000592,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000608,CLORALEX EL RENDIDOR BOT.PLAST. 500ML NAL. 0000075000608,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000615,CLORALEX EL RENDIDOR BOT.PLAST. 950ML NAL. 0000075000615,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000622,CLORALEX EL RENDIDOR BOT.PLAST. 2000ML NAL 0000075000622,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000639,CLORALEX EL RENDIDOR BOT.PLAST. 3750ML NAL 0000075000639,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000646,CLORALEX FANTASIA FLORAL BOT PLAST 950ML NAL 0000075000646,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0000075000653,CLORALEX FANTASIA FLORAL BOT PLAST 2000 ML NAL 0000075000653,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0000075000677,CLORALEX FRESCURA CITRICA  BOT PLAST 950ML NAL 0000075000677,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000684,CLORALEX FRESCURA CITRICA BOT PLAST 2000ML NAL 0000075000684,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
QUIMICA GONCAL,PATITO,0000075010539,PATITO BOTELLA 245 ML. 0000075010539,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
RECKITT,LYSOL,0019200958714,LYSOL SANITIZANTE DE ROPA CRISP LINEN BOT 1.2 LT 0019200958714,1,LIQUIDO,SANITIZANTE,SANITIZANTE,SANITIZANTE
P&G,TIDE,0037000018704,9TIDE LIPIADOR DE ROPA QUITAMANCHAS PLUMON 10 ML IMP 0037000018704,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
P&G,TIDE,0037000213215,9TIDE ADIVITO QUITAMANCHAS 220 GR 0037000213215,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
P&G,TIDE,0037000830870,9TIDE BOOST VIVID WHITE + BRIGHT BOL 18CAP = 400GR IMP 0037000830870,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
P&G,TIDE,0037000889281,TIDE MULTI PURPOSE OXI STAIN REMOVER BOT 1.72KG 0037000889281,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0041380309109,9VALUE CLORO SPECIAL BOT PLAST 3780ML 0041380309109,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0041380309116,SPECIAL VALUE CLORO BLANQUEADOR REGULAR BOT  3.79 LT 0041380309116,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
ARTIC WHITE,ARTIC WHITE,0041596020959,9ARCTIC WHITE FRESCO BOT.PLAS 3.79ML MP 0041596020959,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0043152007114,CLORALEX COLOR VINEGAR POWER BOTE 1.8LT 0043152007114,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE
CLOROX,CLOROX,0044600002033,9CLOROX REGULAR BOT.PLA 946ML IMP 0044600002033,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
CLOROX,CLOROX,0044600016924,CLOROX ULTIMATE  CARE BOTELLA 887 ML IMP 0044600016924,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,0044600305974,CLOROX 2 STAIN FIGTHER REMOVER PEN FOR COLORS GEL 56GR 0044600305974,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
CLOROX,CLOROX,0044600306414,CLOROX 2 QUITAMANCHAS ROPA COLOR C/ROCIADOR 887ML 0044600306414,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,QUITAMANCHAS
CLOROX,CLOROX,0044600312804,CLOROX 2 DARKS&DENIM STAIN REMOVER BOT 975ML 0044600312804,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR
CLOROX,CLOROX,0044600313429,CLOROX CONTROL BLEACH CRYSTALS REGULAR SCENT BOT 680GR 0044600313429,1,POLVO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,0044600313436,CLOROX CONTROL BLEACH CRYSTALS FRESH MEADOW SCENT BOT 680GR 0044600313436,1,POLVO,CLORO,CLORO,OTR. TIPOS
CLOROX,CLOROX,0044600313719,CLOROX CONTROL BLEACH 12 PODS CLORO EN POLVO BOT 252GR 0044600313719,1,POLVO,CLORO,CLORO,NO DEFINIDO
